epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9051520228385925,0.9500439763069153,4.999999873689376e-05,0.04111030697822571,0.9339711666107178,0.9573954939842224,0.9258443713188171,0.9727051854133606,0.03447151929140091,0.9242553114891052,0.9890710115432739
1,0.9363479018211365,0.9730312824249268,4.999999873689376e-05,0.027112841606140137,0.961463212966919,0.9595860838890076,0.933920681476593,0.9739022850990295,0.030607853084802628,0.9359861612319946,0.9854280352592468
2,0.9472191333770752,0.9810379147529602,4.999999873689376e-05,0.022371724247932434,0.9694057703018188,0.9650527238845825,0.9375917911529541,0.976208508014679,0.029765769839286804,0.9347639679908752,0.9918032884597778
3,0.9587206840515137,0.9890758395195007,4.999999873689376e-05,0.017228811979293823,0.974794864654541,0.9740335941314697,0.946402370929718,0.9797531366348267,0.025976864621043205,0.9460400342941284,0.9899817705154419
4,0.9659681916236877,0.9918757677078247,4.999999873689376e-05,0.01497342437505722,0.9821147918701172,0.9755954742431641,0.9383260011672974,0.9805086255073547,0.027685878798365593,0.9363166689872742,0.9908925294876099
5,0.9716401696205139,0.9937394857406616,4.999999873689376e-05,0.012859929352998734,0.9813011288642883,0.9836001396179199,0.9390602111816406,0.9811692833900452,0.028119657188653946,0.93712317943573,0.9908925294876099
6,0.9793603420257568,0.9966799020767212,4.999999873689376e-05,0.0101095512509346,0.9874975681304932,0.9869191646575928,0.9508076310157776,0.9820783138275146,0.026116028428077698,0.9486510157585144,0.9927140474319458
7,0.9793603420257568,0.9970170259475708,1.9999999494757503e-05,0.009329627268016338,0.9876881241798401,0.9867239594459534,0.9478707909584045,0.9819385409355164,0.027305541560053825,0.9453599452972412,0.9927140474319458
8,0.9842445254325867,0.9976736307144165,1.9999999494757503e-05,0.008200208656489849,0.990429699420929,0.9900429248809814,0.9346548914909363,0.9819282293319702,0.02994932234287262,0.930828332901001,0.9927140474319458
9,0.9837718605995178,0.9979908466339111,1.9999999494757503e-05,0.008015372790396214,0.9894675016403198,0.990433394908905,0.9449338912963867,0.9825526475906372,0.025848696008324623,0.9436253309249878,0.9908925294876099
10,0.983299195766449,0.9972257018089294,1.9999999494757503e-05,0.008547400124371052,0.9908023476600647,0.9884810447692871,0.9331864714622498,0.9816902279853821,0.030134573578834534,0.9285106658935547,0.993624746799469
11,0.9870805144309998,0.998436689376831,1.9999999494757503e-05,0.007066966965794563,0.9921875,0.99180006980896,0.9361233711242676,0.9823681116104126,0.028937486931681633,0.9324208498001099,0.9927140474319458
12,0.98771071434021,0.9987978935241699,1.9999999494757503e-05,0.00667209317907691,0.9921935796737671,0.9925810098648071,0.9390602111816406,0.9836238026618958,0.02797836810350418,0.9356223344802856,0.9927140474319458
13,0.9896013736724854,0.9992275238037109,7.999999979801942e-06,0.00558467349037528,0.9941360354423523,0.9929714798927307,0.9427312612533569,0.9836152195930481,0.027894973754882812,0.938144326210022,0.994535505771637
14,0.9872380495071411,0.9985570311546326,7.999999979801942e-06,0.006425238214433193,0.9923813343048096,0.99180006980896,0.9456681609153748,0.9826406240463257,0.027757566422224045,0.9429065585136414,0.9927140474319458
15,0.9883409738540649,0.9988242983818054,7.999999979801942e-06,0.006361818872392178,0.9941268563270569,0.9914095997810364,0.9471365809440613,0.9832236170768738,0.027071844786405563,0.9430052042007446,0.994535505771637
