epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8385064005851746,0.8830549120903015,0.0010000000474974513,0.1633753478527069,0.9308096766471863,0.8641155958175659,0.9096916317939758,0.9653657674789429,0.07071886956691742,0.8999179601669312,0.999089241027832
1,0.8900268077850342,0.9358605146408081,0.0010000000474974513,0.08257602900266647,0.9390631318092346,0.9236626029014587,0.933920681476593,0.9663230180740356,0.0564001202583313,0.9293015599250793,0.993624746799469
2,0.9035764932632446,0.944310188293457,0.0010000000474974513,0.057672835886478424,0.9453001618385315,0.9345958828926086,0.9456681609153748,0.9728759527206421,0.03859309107065201,0.9436741471290588,0.9918032884597778
3,0.9177564382553101,0.9580539464950562,0.0010000000474974513,0.041055936366319656,0.9523996710777283,0.9453338384628296,0.946402370929718,0.9744749069213867,0.026775959879159927,0.9612961411476135,0.9726775884628296
4,0.9175988435745239,0.957547664642334,0.0010000000474974513,0.03818831220269203,0.9513248205184937,0.9463100433349609,0.9449338912963867,0.9739902019500732,0.031146492809057236,0.9420916438102722,0.9927140474319458
5,0.9229557514190674,0.9617362022399902,0.0010000000474974513,0.03417659550905228,0.9530608057975769,0.9513861536979675,0.9383260011672974,0.9776607751846313,0.02768363058567047,0.9370689392089844,0.9899817705154419
6,0.9171261787414551,0.9609177112579346,0.0010000000474974513,0.0337771475315094,0.9490035176277161,0.9482623934745789,0.946402370929718,0.9802309274673462,0.02639877423644066,0.9437229633331299,0.9927140474319458
7,0.9240586161613464,0.9658308625221252,0.0010000000474974513,0.03123866207897663,0.9541894793510437,0.9515814185142517,0.9478707909584045,0.9769104719161987,0.028947042301297188,0.9438202381134033,0.994535505771637
8,0.9243737459182739,0.9634504914283752,0.0010000000474974513,0.03282548114657402,0.9519081115722656,0.954509973526001,0.9456681609153748,0.9802464246749878,0.029589833691716194,0.9391080737113953,0.9972677826881409
9,0.9257917404174805,0.9665046334266663,0.0010000000474974513,0.031075067818164825,0.9519922137260437,0.9562670588493347,0.9383260011672974,0.9778333902359009,0.028234871104359627,0.9370689392089844,0.9899817705154419
